caldt,vwretd
1927-12-31,0.328720
1928-12-31,0.391397
1929-12-31,-0.150955
1930-12-31,-0.289005
1931-12-31,-0.443880
1932-12-31,-0.079448
1933-12-30,0.574131
1934-12-31,0.031846
1935-12-31,0.454487
1936-12-31,0.323153
1937-12-31,-0.346044
1938-12-31,0.284359
1939-12-30,0.018435
1940-12-31,-0.075104
1941-12-31,-0.100387
1942-12-31,0.167218
1943-12-31,0.279687
1944-12-30,0.213640
1945-12-31,0.390593
1946-12-31,-0.064212
1947-12-31,0.032933
1948-12-31,0.021313
1949-12-31,0.201096
1950-12-30,0.304730
1951-12-31,0.209441
1952-12-31,0.133324
1953-12-31,0.003843
1954-12-31,0.504120
1955-12-30,0.254135
1956-12-31,0.085817
1957-12-31,-0.103484
1958-12-31,0.447759
1959-12-31,0.126462
1960-12-30,0.012089
1961-12-29,0.269605
1962-12-31,-0.103120
1963-12-31,0.208877
1964-12-31,0.163038
1965-12-31,0.143859
1966-12-30,-0.086888
1967-12-29,0.285664
1968-12-31,0.141686
1969-12-31,-0.108360
1970-12-31,0.000732
1971-12-31,0.161989
1972-12-29,0.173406
1973-12-31,-0.187497
1974-12-31,-0.279414
1975-12-31,0.373579
1976-12-31,0.267803
1977-12-30,-0.029696
1978-12-29,0.085462
1979-12-31,0.244143
1980-12-31,0.332394
1981-12-31,-0.039875
1982-12-31,0.204221
1983-12-30,0.226468
1984-12-31,0.031642
1985-12-31,0.314116
1986-12-31,0.155628
1987-12-31,0.018312
1988-12-30,0.175550
1989-12-29,0.284330
1990-12-31,-0.060818
1991-12-31,0.336459
1992-12-31,0.090630
1993-12-31,0.115863
1994-12-30,-0.007462
1995-12-29,0.356624
1996-12-31,0.211729
1997-12-31,0.303444
1998-12-31,0.222446
1999-12-31,0.252721
2000-12-29,-0.111598
2001-12-31,-0.112696
2002-12-31,-0.208339
2003-12-31,0.331419
2004-12-31,0.129912
2005-12-30,0.073041
2006-12-29,0.162271
2007-12-31,0.072871
2008-12-31,-0.383286
2009-12-31,0.316530
2010-12-31,0.178885
2011-12-30,-0.009407
2012-12-31,0.159980
2013-12-31,0.316823
2014-12-31,0.108102
2015-12-31,-0.015908
